Alias,Information Visualization,Statistics,Maths,Art,Computer usage,Programming,Computer Graphics,Human-Computer Interaction ,UX,Communication,Collaboration,Code Repository,Games,Sports,Reading,Watching series/movies,Cooking,Traveling,Studies,Art/Design
Soup,4,4,5,7,7,4,5,5,6,8,7,5,Games,,,,,,,Illustration  3D modeling/printing
vq,7,9,7,10,10,7,3,5,4,6,2,5,,Most of the sports  especially KENDO,,,,,data analysis,digital painting
jjettas,6,7,5,3,10,9,5,4,7,10,8,10,,Sports (pro/college),,,,,statistics  entrepreneurship,
SunnyStockholm,2,3,5,3,6,5,1,2,2,8,5,3,,watching  and playing football. I love skiing,,,,,,
Yami,6,4,7,9,8,7,7,6,6,9,2,6,,,reading,watching series/movies,cooking and baking for my friends,,,drawing
pringles,3,3,3,1,4,3,1,1,1,4,4,5,,playing basketball,,watching television series and movies,,,,
Oseram,6,3,5,2,10,10,7,6,5,8,9,10,,hiking,,movies (favorite movie: Interstellar),cooking & making cocktails,traveling,,play the ukulele
Rizzlord,6,7,7,1,10,3,1,1,3,10,10,1,,playing basketball  going snowboarding,,,,,,playing the guitar
Koronesuki,2,2,5,4,8,5,1,3,2,5,4,5,video games,training  especially jogging,,anime Vtuber,,,learning Japanes,3D modeling  drawing
Daybeha,6,6,5,4,7,7,6,6,1,6,5,5,,sport,,,,,code ,
Pasta,6,7,8,6,9,9,6,6,7,9,10,9,,bouldering  hiking  football skiing,,,,,Visual computing,
PogChamp,6,6,7,5,9,8,1,1,1,8,7,7,computer gaming,,reading,watching films,,,,play bass guitar
Ropianos,4,4,5,3,9,9,9,7,4,6,6,10,Board games  Video games,Climbing/Bouldering,,,,,Learning languages  Programming,
Horse123,3,4,5,2,5,7,8,4,2,5,5,7,Playing video games ,,,,bartending,,,
Rebin,5,6,6,8,7,7,8,5,6,6,8,8,playing games,,reading sci-fi  mostly cyberpunk,film  especially old film-noir movies from the thirties forward ,,,,
monoid,7,8,7,7,8,9,7,6,6,7,7,9,,,,,,,programming language theory,3d rendering  play piano
Ishi,2,3,5,2,6,5,2,3,3,8,6,4,,scuba diving,reading  fiction in particular especially fantasy,,,traveling,technology in general,photography
xXVisWizXx,4,5,5,1,8,5,1,7,5,5,6,4,video game,trekking  climbing mountains ,,,,traveling ,,play the guitar
Aloy,3,3,4,9,8,5,3,3,8,10,8,8,play video games ,watch all kinds of sports,,,,,,draw paint  most often realism 
Turb0clutcharen,3,3,6,6,8,7,3,4,2,9,8,8,play counter strike,,,,,,geography  history technology  edit wikipedia articles,graphic design
kanelbullar13,2,7,8,3,5,5,5,5,1,7,6,3,,going inline skating outside,,,,,,visiting art museums
Skvarre,3,4,6,1,8,6,4,2,3,2,3,7,playing games,,,,cooking ,,,play in a band
Pål,4,7,8,4,7,4,2,6,7,7,8,8,,,,,,,working with code ,music producer audio engineer
Modi,2,3,6,6,6,5,3,5,6,8,8,5,,work out,,,,,,
Bluebell,1,4,4,4,4,2,5,5,5,9,8,3,,dancing,,,,,web programming ,design  knitting  photography
Noggin_bops,6,2,5,7,10,9,10,6,4,5,6,10,game development  play games,,,,,,,sewing  making perfume
Lumos,7,4,8,4,10,8,5,6,6,5,8,9,chess,Working out,reading,films,,,entrepreneurship,music
Santa86,3,5,8,9,4,4,4,5,7,6,6,6,,sports activities,,,,,,painting  design
mercury,2,8,5,3,5,3,4,3,1,6,9,4,,handball  dancing ,,watching movies tv series,,,learn about new stuff in politics  society science  climate change  biodiversity sustainability,
DonkeyKong1,2,3,2,4,5,2,4,2,3,5,5,3,,,,,,,,photography  knitting  pottery
ardillito28,4,5,4,6,8,8,2,1,4,8,7,8,,workout ,,,,,,play instruments such as bass  guitar  piano drums
rabbit99,3,4,3,7,8,4,1,5,10,10,8,1,,,,,,,,
unpwu,3,8,7,3,7,5,8,2,1,6,6,7,Chess,table tennis  cycling other sports,,,,,,
PetrifiedDropbear69,6,7,7,4,8,7,6,7,4,9,5,8,Video Games,Bouldering,Reading,Binging on TV shows,,,,
ChaCharizard,4,3,10,9,9,4,2,3,5,10,8,5,Pokémon games and card collection,horseriding ,,,,,,
HalfCrimp,3,7,5,4,7,6,7,3,4,7,7,7,games,Climbing,,,,,,photography
coldfooter,8,6,7,6,8,7,4,6,4,7,7,7,,surfing,reading (from literary fiction  history poetry to sci-fi/fantasy historical fiction),,,"""slow"" travel  to get to know the places and people",learning things  coding  ,music  generative art
Ramennoodle,3,3,6,4,7,2,2,2,3,7,8,2,,working out ,,,cooking,exploring new places ,,
Rufstufsan,2,5,8,3,10,7,6,7,5,7,8,10,video games,,,,,,,be creative and productive
C3I2,8,9,8,3,9,8,5,7,7,8,7,9,competetive wargamer,,,,,,,
Bempis2,3,3,3,8,8,7,7,6,8,8,7,7,games,,,,,,,Music  Singing in a choir  drawing
